Time,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
49,1832.094593523206,6.7855355315674295,270,202
50,1902.3102169366362,6.942738018016921,274,204
51,1881.9212430642895,6.8185552284938025,276,217
52,1940.280808181206,6.929574314932879,280,218
53,2041.1938739195014,7.316107074980292,279,220
54,1947.377120525662,6.954918287591649,280,226
55,2031.2727817655477,7.228728760731487,281,230
56,1971.2429142410847,6.965522665162843,283,234
57,1910.3848376801893,6.656393162648743,287,231
58,2147.620305747075,7.535509844726578,285,234
59,2168.716237024331,7.504208432610142,289,237
60,2162.152955445582,7.533633991099588,287,237
61,2136.5056800972143,7.367260965852463,290,239
62,2042.285133059826,7.066730564220851,289,242
63,2176.4260560029034,7.402809714295589,294,248
64,2242.8756056670336,7.602968154803504,295,251
65,2304.328452538441,7.837851879382453,294,247
66,2339.8164028132146,7.931581026485473,295,248
67,2401.4049010772915,7.899358227227933,304,245
68,2283.6006272470354,7.487215171301755,305,245
69,2189.2413975452946,7.225219133812853,303,244
70,2241.512244455236,7.301342815815102,307,245
71,2207.8330626280995,7.262608758645064,304,256
72,2242.1246204765857,7.2796253911577455,308,264
73,2239.7825644719314,7.17879027074337,312,264
74,2141.777026619478,6.864669957113711,312,273
75,2263.037661472686,7.276648429172624,311,272
76,2271.0954174932563,7.255895902534365,313,273
77,2355.878354562258,7.526767905949707,313,273
78,2461.7864033172336,7.865132278968797,313,279
79,2227.1041708674898,7.161106658737909,311,284
80,2459.5019831199575,7.88301917666653,312,285
81,2469.319943119871,7.765157053836072,318,292
82,2466.4094226530524,7.780471364836127,317,293
83,2744.8510761095754,8.658836202238408,317,295
84,2675.151117655943,8.386053660363457,319,299
85,2535.2048372418503,7.848931384649691,323,312
86,2611.89521118259,8.187759282704045,319,315
87,2822.401545983167,8.738085281681633,323,309
88,2995.615147717187,9.27435030252999,323,306
89,2885.6427177254586,8.744371871895328,330,317
90,2758.2510947004102,8.409302117989055,328,319
91,2865.6726808807434,8.554246808599235,335,321
92,2976.9719100141474,8.886483313475066,335,316
93,3025.6279304923696,8.951561924533637,338,315
94,2830.2069995549755,8.348693214026476,339,318
95,3085.4280818890493,9.048176193223018,341,317
96,3079.735744771652,9.05804630815192,340,311
97,3300.217360419895,9.735154455515914,339,322
98,3285.885550722898,9.636028007985038,341,318
99,3256.964745422617,9.551216262236414,341,321
100,3229.4921725360746,9.554710569633357,338,324
101,3279.6796355117476,9.56174820848906,343,330
102,2974.54736507184,8.748668720799529,340,339
103,3212.506422421496,9.204889462525777,349,345
104,3175.6738845600826,9.04750394461562,351,354
105,3131.657212337047,8.922100320048568,351,356
106,2998.1012653682833,8.541599046633285,351,363
107,3196.652819373818,9.107272989668997,351,371
108,3013.0583634422246,8.58421186165876,351,375
109,2963.461309380133,8.442909713333712,351,374
110,3150.629161705935,9.0017976048741,350,367
111,3171.340861159745,9.009491082840185,352,375
112,3374.8554980953495,9.61497292904658,351,377
113,3015.2089297338853,8.590338831150671,351,377
114,3284.751570250919,9.252821324650476,355,368
115,3248.7126313896997,9.203151930282436,353,376
116,3125.8948702340153,8.780603568073078,356,390
117,3324.0013094783644,9.363383970361589,355,385
118,3359.9229599163555,9.437985842461673,356,388
119,3472.4770310866647,9.726826417609706,357,392
120,3645.0691011332538,10.210277594210794,357,394
121,3512.3566118895387,9.729519700525039,361,404
122,3223.3157424771916,8.928852472235988,361,422
123,3452.6256895256874,9.564060081788607,361,419
124,3725.3045060846716,10.376892774609113,359,426
125,3861.169614688445,10.695760705508158,361,428
126,3710.895628936793,10.166837339552858,365,436
127,3619.995815775822,9.97244026384524,363,445
128,3705.976633170379,10.125619216312511,366,450
129,4026.5261884417428,10.941647251200388,368,454
130,3431.0813411737204,9.374539183534756,366,475
131,3437.2967497231216,9.289991215467897,370,478
132,3563.8168118833087,9.684284814900295,368,484
133,3446.9187640593195,9.36662707624815,368,484
134,3518.8511230214403,9.459277212423228,372,494
135,3648.7620847485455,9.834938233823573,371,502
136,3703.3332423122597,10.009008763006108,370,498
137,3587.5639467966726,9.618133905621105,373,507
138,3740.4499806642857,9.974533281771429,375,514
139,3676.404790051931,9.803746106805148,375,524
140,3675.2618971809156,9.800698392482442,375,525
141,3860.714092416741,10.350439926050244,373,532
142,3680.023487384364,9.787296509000969,376,540
143,3770.382526628353,10.001014659491652,377,545
144,3989.227816622951,10.55351274238876,378,539
145,3995.761511219339,10.542906362056303,379,543
146,3863.499750551353,10.248009948412077,377,537
147,3878.237379328846,10.287101801933279,377,541
148,3932.3701393896504,10.321181468214306,381,544
149,3982.9783754803693,10.454011484200445,381,547
150,4287.222293240618,11.282163929580573,380,542
151,4287.230447763201,11.223116355401048,382,547
152,4198.088447717876,11.047601178204937,380,550
153,4211.692245178348,11.025372369576827,382,554
154,4215.464001362488,10.920891195239605,386,558
155,4022.0452692475405,10.44687082921439,385,571
156,4257.447876778425,11.058306173450454,385,580
157,4319.518487926839,11.219528540069712,385,569
158,3911.2694947686587,10.159141544853659,385,583
159,4052.2466901056478,10.58027856424451,383,594
160,4027.0876654274916,10.48720746205076,384,596
161,4093.322513828906,10.549800293373469,388,605
162,4068.981143774662,10.487064803542944,388,611
163,4115.025341238638,10.605735415563501,388,628
164,4109.671127434003,10.64681639231607,386,628
165,4287.019268220739,11.020615085400356,389,636
166,4416.250317102923,11.411499527397734,387,643
167,4404.479995784035,11.293538450728295,390,647
168,4453.6333892636785,11.419572792983791,390,648
169,4405.578962611911,11.18167249393886,394,654
170,4038.1729123974865,10.249169828420017,394,663
171,4083.5253193289523,10.417156426859572,392,656
172,3966.3017872176056,10.092370959841235,393,661
173,4017.5456654349696,10.171001684645493,395,673
174,4538.760368513933,11.519696366786631,394,668
175,4502.482047985022,11.369904161578338,396,679
176,4389.8854843648605,11.170192072175217,393,680
177,4401.804119411188,11.257811047087438,391,695
178,3875.2899213182372,9.835761221619892,394,694
179,3688.1174918096963,9.337006308378978,395,707
180,3901.0899526879466,9.826423054629588,397,707
181,3751.416385808374,9.449411551154594,397,721
182,3866.7868642169815,9.740017290219097,397,733
183,3876.6128578479097,9.789426408706843,396,721
184,4168.9695109960685,10.50118264734526,397,712
185,4137.263687037797,10.421319110926442,397,718
186,4408.96497682912,11.050037535912582,399,720
187,4242.715496392684,10.60678874098171,400,738
188,4352.208191879284,10.826388537013143,402,751
189,3939.3278253702847,9.848319563425711,400,754
190,3957.492368457295,9.844508379247003,402,761
191,3764.764942452771,9.341848492438638,403,758
192,3387.756113437787,8.36482990972293,405,776
193,3196.9895022745236,7.932976432442986,403,783
194,3506.916879712955,8.680487326022165,404,802
195,3586.399588192498,8.74731606876219,410,814
196,3240.2357782136523,7.941754358366795,408,825
197,3093.3235949431764,7.600303673079058,407,825
198,3150.809478062097,7.722572250152198,408,839
199,3113.980061227476,7.651056661492571,407,863
200,3069.2053426691555,7.541045067983183,407,871
201,3150.4498226241344,7.702811302259497,409,891
202,3185.021465300233,7.7119163808722355,413,892
203,2943.2581851693026,7.143830546527433,412,912
204,3105.4846854345587,7.501170737764634,414,940
205,3019.092235327124,7.292493322046193,414,953
206,3070.6631739148797,7.489422375402146,410,941
207,3203.7278826269394,7.682800677762445,417,937
208,3189.162175140174,7.629574581675057,418,939
209,3182.97224216833,7.596592463408903,419,937
210,3164.7216206883895,7.589260481267121,417,945
211,3077.057229451556,7.257210446819707,424,951
212,2982.7534806304884,7.018243483836443,425,950
213,3029.4898354866255,7.128211377615589,425,958
214,2926.143249234286,6.885042939374791,425,968
215,2914.701837942721,6.858121971629932,425,963
216,2762.1895949116742,6.5923379353500575,419,974
217,2745.3899935955283,6.583669049389756,417,977
218,2849.11675364066,6.767498227174965,421,991
219,2899.4144874152125,6.9033678271790775,420,1004
220,2801.2565681881515,6.6855765350552545,419,1021
221,2867.4179397157523,6.843479569727332,419,1018
